ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Spent,Total_Purchases,Web_Purchase_Ratio,Catalog_Purchase_Ratio,Store_Purchase_Ratio,Customer_Tenure_Days,Customer_Tenure_Years,Tenure_Group
1994,1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,19,3,0.3333333333333333,0.0,0.6666666666666666,412,1,<1 yr
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,61,5,0.4,0.0,0.6,779,2,1-3 yrs
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,1102,15,0.2,0.26666666666666666,0.5333333333333333,412,1,<1 yr
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,310,12,0.5,0.08333333333333333,0.4166666666666667,412,1,<1 yr
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,46,4,0.25,0.0,0.75,813,2,1-3 yrs
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,1315,25,0.28,0.24,0.48,768,2,1-3 yrs
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,96,6,0.5,0.0,0.5,738,2,1-3 yrs
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,317,11,0.36363636363636365,0.09090909090909091,0.5454545454545454,853,2,1-3 yrs
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1782,24,0.4583333333333333,0.16666666666666666,0.375,644,1,<1 yr
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,133,6,0.3333333333333333,0.16666666666666666,0.5,789,2,1-3 yrs
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,316,11,0.36363636363636365,0.18181818181818182,0.45454545454545453,876,2,1-3 yrs
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1730,28,0.0,1.0,0.0,725,1,<1 yr
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,972,14,0.14285714285714285,0.21428571428571427,0.6428571428571429,739,2,1-3 yrs
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,544,17,0.35294117647058826,0.11764705882352941,0.5294117647058824,355,0,<1 yr
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,444,13,0.5384615384615384,0.07692307692307693,0.38461538461538464,654,1,<1 yr
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,75,6,0.3333333333333333,0.16666666666666666,0.5,729,1,<1 yr
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,257,10,0.5,0.1,0.4,584,1,<1 yr
5255,1986,Graduation,Single,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,637,27,1.0,0.0,0.0,680,1,<1 yr
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,131,7,0.2857142857142857,0.14285714285714285,0.5714285714285714,580,1,<1 yr
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1672,25,0.24,0.36,0.4,405,1,<1 yr
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,30,6,0.5,0.0,0.5,224,0,<1 yr
3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,10,0.2,0.5,0.3,600,1,<1 yr
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,120,7,0.2857142857142857,0.14285714285714285,0.5714285714285714,813,2,1-3 yrs
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,302,11,0.36363636363636365,0.09090909090909091,0.5454545454545454,794,2,1-3 yrs
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,1196,17,0.17647058823529413,0.29411764705882354,0.5294117647058824,680,1,<1 yr
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,65,5,0.4,0.0,0.6,490,1,<1 yr
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,913,23,0.21739130434782608,0.2608695652173913,0.5217391304347826,366,1,<1 yr
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,81,6,0.5,0.16666666666666666,0.3333333333333333,486,1,<1 yr
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,67,5,0.2,0.2,0.6,324,0,<1 yr
2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,902,22,0.3181818181818182,0.45454545454545453,0.22727272727272727,699,1,<1 yr
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1395,19,0.42105263157894735,0.3157894736842105,0.2631578947368421,612,1,<1 yr
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,53,5,0.4,0.0,0.6,660,1,<1 yr
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,22,3,0.0,0.0,1.0,738,2,1-3 yrs
7281,1959,PhD,Single,51381.5,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,186,8,0.125,0.375,0.5,422,1,<1 yr
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,31,5,0.4,0.0,0.6,456,1,<1 yr
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,984,15,0.13333333333333333,0.26666666666666666,0.6,187,0,<1 yr
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,122,7,0.42857142857142855,0.14285714285714285,0.42857142857142855,783,2,1-3 yrs
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,55,4,0.5,0.0,0.5,587,1,<1 yr
7244,1951,Graduation,Single,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,124,7,0.2857142857142857,0.14285714285714285,0.5714285714285714,365,1,<1 yr
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,1319,19,0.2631578947368421,0.10526315789473684,0.631578947368421,784,2,1-3 yrs
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,507,16,0.25,0.125,0.625,234,0,<1 yr
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,1693,28,0.21428571428571427,0.32142857142857145,0.4642857142857143,873,2,1-3 yrs
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,72,5,0.4,0.0,0.6,729,1,<1 yr
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,1617,20,0.2,0.45,0.35,208,0,<1 yr
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,606,16,0.25,0.125,0.625,568,1,<1 yr
6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,1957,26,0.11538461538461539,0.38461538461538464,0.5,773,2,1-3 yrs
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,1093,20,0.25,0.25,0.5,639,1,<1 yr
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,29,5,0.2,0.0,0.8,248,0,<1 yr
8557,1982,Graduation,Single,51381.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,46,5,0.4,0.0,0.6,563,1,<1 yr
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,518,16,0.5,0.125,0.375,304,0,<1 yr
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,1438,20,0.15,0.3,0.55,546,1,<1 yr
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,612,18,0.2222222222222222,0.1111111111111111,0.6666666666666666,846,2,1-3 yrs
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,884,20,0.4,0.1,0.5,682,1,<1 yr
6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,606,18,0.3888888888888889,0.16666666666666666,0.4444444444444444,569,1,<1 yr
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,1076,15,0.4666666666666667,0.26666666666666666,0.26666666666666666,391,1,<1 yr
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,34,4,0.25,0.25,0.5,590,1,<1 yr
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,11,3,0.3333333333333333,0.0,0.6666666666666666,235,0,<1 yr
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1274,31,0.3548387096774194,0.3225806451612903,0.3225806451612903,288,0,<1 yr
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,653,17,0.29411764705882354,0.11764705882352941,0.5882352941176471,461,1,<1 yr
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,1562,12,0.16666666666666666,0.4166666666666667,0.4166666666666667,633,1,<1 yr
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,1253,18,0.2222222222222222,0.4444444444444444,0.3333333333333333,842,2,1-3 yrs
10629,1973,2n Cycle,Married,51381.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,109,6,0.5,0.0,0.5,839,2,1-3 yrs
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,863,26,0.38461538461538464,0.11538461538461539,0.5,655,1,<1 yr
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,661,19,0.47368421052631576,0.10526315789473684,0.42105263157894735,636,1,<1 yr
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,65,7,0.2857142857142857,0.14285714285714285,0.5714285714285714,246,0,<1 yr
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,13,3,0.3333333333333333,0.0,0.6666666666666666,743,2,1-3 yrs
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,1890,18,0.3888888888888889,0.3333333333333333,0.2777777777777778,857,2,1-3 yrs
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,2209,22,0.22727272727272727,0.36363636363636365,0.4090909090909091,811,2,1-3 yrs
10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,18,3,0.0,0.0,1.0,484,1,<1 yr
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,692,19,0.5263157894736842,0.05263157894736842,0.42105263157894735,729,1,<1 yr
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,165,8,0.375,0.125,0.5,855,2,1-3 yrs
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,16,3,0.3333333333333333,0.0,0.6666666666666666,557,1,<1 yr
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,79,6,0.5,0.0,0.5,547,1,<1 yr
4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,10,0.2,0.5,0.3,600,1,<1 yr
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,778,26,0.11538461538461539,0.38461538461538464,0.5,310,0,<1 yr
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,56,5,0.2,0.0,0.8,508,1,<1 yr
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,151,8,0.375,0.125,0.5,534,1,<1 yr
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,372,13,0.46153846153846156,0.07692307692307693,0.46153846153846156,218,0,<1 yr
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1366,18,0.2777777777777778,0.3333333333333333,0.3888888888888889,234,0,<1 yr
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,194,9,0.2222222222222222,0.2222222222222222,0.5555555555555556,345,0,<1 yr
8996,1957,PhD,Married,51381.5,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,603,17,0.4117647058823529,0.11764705882352941,0.47058823529411764,773,2,1-3 yrs
9235,1957,Graduation,Single,51381.5,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,18,3,0.3333333333333333,0.0,0.6666666666666666,219,0,<1 yr
5798,1973,Master,Together,51381.5,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,985,14,0.14285714285714285,0.2857142857142857,0.5714285714285714,404,1,<1 yr
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,32,4,0.25,0.0,0.75,284,0,<1 yr
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,43,7,0.42857142857142855,0.14285714285714285,0.42857142857142855,222,0,<1 yr
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,45,5,0.4,0.0,0.6,224,0,<1 yr
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,606,17,0.4117647058823529,0.23529411764705882,0.35294117647058826,770,2,1-3 yrs
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,63,5,0.4,0.0,0.6,630,1,<1 yr
4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,24,0.20833333333333334,0.2916666666666667,0.5,396,1,<1 yr
3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,410,14,0.35714285714285715,0.14285714285714285,0.5,560,1,<1 yr
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,72,5,0.4,0.0,0.6,527,1,<1 yr
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,5,0.4,0.0,0.6,277,0,<1 yr
4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1169,25,0.36,0.2,0.44,621,1,<1 yr
9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,1120,15,0.4,0.2,0.4,594,1,<1 yr
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,1097,19,0.15789473684210525,0.5789473684210527,0.2631578947368421,238,0,<1 yr
8373,1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,29,4,0.25,0.0,0.75,387,1,<1 yr
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,187,9,0.4444444444444444,0.1111111111111111,0.4444444444444444,464,1,<1 yr
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,910,22,0.2727272727272727,0.18181818181818182,0.5454545454545454,698,1,<1 yr
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,145,7,0.42857142857142855,0.14285714285714285,0.42857142857142855,743,2,1-3 yrs
10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,850,13,0.38461538461538464,0.3076923076923077,0.3076923076923077,755,2,1-3 yrs
5077,1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,969,23,0.2608695652173913,0.2608695652173913,0.4782608695652174,425,1,<1 yr
7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,1820,16,0.4375,0.25,0.3125,782,2,1-3 yrs
3267,1963,Master,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,608,17,0.47058823529411764,0.058823529411764705,0.47058823529411764,190,0,<1 yr
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,730,24,0.25,0.2916666666666667,0.4583333333333333,729,1,<1 yr
9215,1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,551,16,0.375,0.25,0.375,750,2,1-3 yrs
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,114,6,0.3333333333333333,0.16666666666666666,0.5,478,1,<1 yr
1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,1724,15,0.26666666666666666,0.4,0.3333333333333333,342,0,<1 yr
367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,577,15,0.6,0.06666666666666667,0.3333333333333333,681,1,<1 yr
5234,1967,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,81,5,0.2,0.2,0.6,539,1,<1 yr
9862,1969,Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33,5,0.4,0.0,0.6,413,1,<1 yr
9805,1953,Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,660,18,0.3333333333333333,0.1111111111111111,0.5555555555555556,560,1,<1 yr
6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,80,6,0.3333333333333333,0.16666666666666666,0.5,311,0,<1 yr
8442,1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,30,4,0.25,0.0,0.75,484,1,<1 yr
7386,1976,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,43,4,0.25,0.0,0.75,619,1,<1 yr
7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,1135,27,0.2222222222222222,0.2962962962962963,0.48148148148148145,660,1,<1 yr
1491,1965,2n Cycle,Together,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,559,14,0.21428571428571427,0.2857142857142857,0.5,682,1,<1 yr
11071,1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1923,15,0.2,0.4,0.4,620,1,<1 yr
3381,1953,Master,Married,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,90,6,0.3333333333333333,0.0,0.6666666666666666,207,0,<1 yr
8268,1961,PhD,Married,51381.5,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,404,14,0.42857142857142855,0.07142857142857142,0.5,539,1,<1 yr
11051,1956,PhD,Together,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,661,19,0.3157894736842105,0.15789473684210525,0.5263157894736842,236,0,<1 yr
8026,1952,Graduation,Married,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,463,14,0.35714285714285715,0.2857142857142857,0.35714285714285715,458,1,<1 yr
